"","cmt1","cmt2","cmt3","cmt4","cmt5","cmt6","cmt7","cmt8","cmt9","cmt10","cmt11","cmt12","cmt13","cmt14","cmt15","cmt16","cmt17","cmt18","cmt19","cmt20","cmt21","cmt22","cmt23","cmt24","cmt25","cmt26"
"TCGA-HZ-A4BH-01A",0.27790449302997,0.293637119966849,0.21117736222183,-0.263934099043914,0.223126830363373,-0.286209495346888,0.246487882538015,0.221964652101788,0.212044734537725,-0.332981201645079,0.287930178449112,-0.178787726636847,0.444998345741884,-0.270191107809347,-0.295038179607166,-0.216498677015544,0.236862269852377,-0.228835956443708,-0.0954503563927748,0.253297786448683,0.216503887666661,-0.420785255762153,-0.273559467560403,-0.0994060182579747,0.197887841962434,-0.210652488086847
"TCGA-F2-A7TX-01A",0.233743370337534,0.226704595115402,0.114290931790343,-0.454703326681273,0.23823950299501,-0.335389616843297,0.210459534581694,0.181290319943456,0.189834360596479,-0.0824693134583268,0.342174937370317,0.0456251570242631,0.146225547868528,-0.224186799007308,-0.281045413499356,-0.172385890466694,0.172917497934796,-0.181468521364319,-0.196175292569815,0.169688544135186,0.202952540807861,-0.503962959289002,-0.2102379805019,-0.0787968952198949,0.26119907830345,-0.335107003922336
"TCGA-Q3-A5QY-01A",0.319972854150181,0.241675767503686,0.301040130812628,-0.361040157676977,0.134777957566197,-0.277118796308522,0.156814293978742,0.35455100756014,0.150740019293838,-0.106113101444099,0.329207719815423,-0.354305257108187,0.668771101229792,-0.450873674081777,-0.321942329715369,-0.233687163116644,0.291321495884015,-0.0568471413919235,4.49390287112666,0.279777679587501,0.20713819426215,-0.474423564334821,-0.0555205036028784,-0.0488002080763069,0.32617688291945,-0.127989719652583
"TCGA-F2-A44G-01A",0.204671015320954,0.299091862733097,0.25437030792876,-0.293332304272839,0.274504884839226,-0.181108794609653,0.277197844099152,0.201977317016757,0.228078776592635,-0.431334480700535,0.266875944464916,-0.679242690181641,0.374996205606141,-0.245441367432872,-0.290387604017834,-0.0563167711044671,0.312439630013843,-0.641810577110485,-0.224568996087476,0.271794352055002,0.219256412483825,-0.0673652774508411,-0.37675493431301,-0.0959653503064445,0.245327653712385,-0.24683663024467
"TCGA-HZ-8005-01A",0.19274169423828,0.260336517543192,0.231130895214271,-0.140389856220853,0.270649551281313,0.229169341635228,0.248870503933225,0.284668787708618,0.192652865538111,-0.3722861274249,0.271834501604267,-0.323130589074322,-0.0826098954603354,-0.163461516882509,-0.301553761863795,0.0512033430231438,0.302320757583879,-0.163863659431949,-0.205562723776125,0.269822066451284,0.217774989915539,2.47614195753,-0.146336015898171,-0.109354166045792,0.273908638696457,-0.246632488919645
"TCGA-LB-A7SX-01A",0.125450539421957,0.199184989224026,0.0895668953493385,-0.410715025866314,0.248747233896574,-0.203478151897605,0.185638068842267,0.0292827294314343,0.166567161930598,-0.0360593908861153,0.256146353778952,0.824525684169845,-0.647277362848607,3.70190816651637,-0.299940696972659,-0.0303828880588399,0.110427930862235,-0.460078612389053,-0.147011274776738,0.154844644649022,0.191445477550352,-0.370526982995101,-0.323433637441946,-0.0830783589265911,-4.24348075456353,-0.0677854045805352
"TCGA-HV-A5A6-01A",0.161443727947947,0.282061952688648,0.179467437726538,-0.187674514423902,0.22459385089463,0.0337649167326251,0.232240420035711,-0.0536699881411334,0.174794964792898,-0.0667386186007265,0.283205672646622,-0.2097158919603,-0.0182888587845237,3.52452083619444,-0.284708187068281,-0.0496388937621716,0.242014826178551,-0.700961679548316,-0.183433424568637,0.214289907085909,0.215293947762802,0.0442698990570243,-0.363370728146589,-0.0941584687240101,0.148974502046435,-0.15321895920215
"TCGA-IB-AAUS-01A",0.343925481897439,0.263737937943211,0.275943636843255,-0.602004652289848,0.1700597463159,-0.36978548155189,0.239111218994648,0.449659953465673,0.108761759062883,-0.178974095602247,0.445402511482513,-0.328676934969746,0.410210305378817,-0.419185901306627,-0.383184516130314,-0.429072253623682,0.274997011413857,-0.314602346639481,0.057553470902788,0.276161904050512,0.221324150289455,-0.452193465048486,-0.109281297485276,-0.0406224967324846,0.248007487579375,-0.192478980993264
"TCGA-HZ-A77P-01A",0.264460507924555,0.230027797985098,0.118467973079506,-0.0591520769633415,0.110264387657441,-0.424614436492345,0.245971082873403,0.227151283341684,0.181003322879096,-0.00729690896328593,0.322399488282845,-0.0434399897872677,0.386430402940061,-0.441269539275416,-0.327607037653916,-0.302150071557837,0.188974179744341,0.143284859398011,-0.100346057272803,0.200928997081749,0.216759481677575,-0.270346262232052,-0.2699992658451,-0.0756696089939067,0.208557222577795,-0.260314557586383
"TCGA-US-A77E-01A",0.133020271158368,0.199007670890588,0.204133170628023,-0.126075370833628,0.253767809766523,4.02044891052211,0.257668757804866,0.009986169016622,0.299999165369496,-0.236993221703133,0.219435380161702,-0.35825369928088,0.204303267668583,-0.128018061269484,-0.280143027665147,-0.104113689976594,0.26106302898785,-0.426009182013467,-0.319045466291182,0.21197327614686,0.238594877431866,0.00134164745809115,-0.376573487662015,-0.113128183722164,0.172081691056426,-0.214998486171859
"TCGA-IB-7890-01A",0.219785240540154,0.275873612662032,0.207379707652436,-0.0152375994899632,0.18857868194318,0.151385302660112,0.263979226109986,0.162496881807439,0.187455082077776,-0.345299123450331,0.249809643837884,-0.17483946400726,-0.144544892785441,-0.248474188628824,-0.290234118685592,-0.202348918568362,0.271128275012944,-0.328206442503411,-0.307580957805955,0.246658129381458,0.227128472780179,-0.348547216716537,-0.138002337730445,-0.116483048903511,0.213854146776936,-0.2079910874848
"TCGA-LB-A9Q5-01A",0.304182189908262,0.27063052495712,0.165437414039607,-0.472043752679372,0.171237874957093,-0.449603688109724,0.259705523646727,0.286794866237883,0.171409337950462,-0.183410302731018,0.336740981207915,-0.692189792946502,0.40158708541262,-0.273169494340915,-0.368664653812189,-0.377082307650652,0.226308677212006,-0.0768446848387981,-0.239909131959612,0.158637317559546,0.222016991273411,-0.449872432700976,-0.201864191603337,-0.0536561311608208,0.311485676717393,-0.315106372600265
